Date	Workout	HeroWod
20020220	"1 mile bike rest as needed. 20 inch box jump, 50 reps. rest as needed. 20 pound wallball, 50 shots rest as needed. jumping pull-ups, 100 reps.notes: 1. add time from all four efforts. 2. jumping pull-ups are performed starting with about fifteen to twenty  degrees of flexion in the arm and then jump to chin over bar. __________________ ""you learn you can do your best even when it's hard, even when you're  tired and maybe hurting a little bit. it feels good to show some courage."" - joe namath an interview with dr. loren cordain an outspoken advocate of the paleolithic diet: http://chetday.com/cordaininterview.htm"	false
20020219	"20 pull ups 5 dips 15 pull ups 10 dips 5 pull ups 20 dipsnotes: 1. move quickly from pull-ups to dips then rest before next pairing. 2. can you make two, three rounds of this circuit? ___________________ ""once you can establish an aggressive mental attitude, you can turn  your attention to correct technique."" - tony gwynn  paleolithic nutrition: http://www.direct-ms.org/paleolithic_nutrition.html"	false
20020218	rest day	false
20020217	"back sqaut 3-3-3-3-3-3-3-3-3-3, repspace as needed. ________________ ""no matter how good you are there's a lot of luck involved."" - reggie miller let's take another swing at the vegetarians:  http://www.beyondveg.com/ fun site!"	false
20020216	"five rounds, 21-18-15-12 and 9 reps, for time of: back extensions pull ups sit ups dips notes: 1. this is 5 ""super"" sets. move from back extension through to dips with no rest.  2. after completion of all four exercises for each set, rest as needed. ____________________ ""losing is no disgrace if you've given your best."" - jim palmer the psychology of idealistic diets:  http://www.beyondveg.com/cat/psych/index.shtml"	false
20020215	"800 meter run rest 5 minutes 500 meter row rest 5 minutes. 20 pound wallball, 50 shots. rest 5 minutes. 1 mile bikenotes: 1. add times for all four efforts. 2. wallball reps come from full squat and shot is two feet over reach. ___________________ ""nobody does it [climbs mountains] for scientific reasons.  science is used to raise money for the expeditions, but you  really climb for the hell of it."" - sir edmund hillary"	false
20020214	rest day	false
20020213	"back squat 5-3-1-3-5, reps bench press 5-3-1-3-5, reps deadlift 5-3-1-3-5, repsnotes. 1. load up! ____________________""the distinction we make between resistance training and metabolic training  (""cardio"") may seem clear to us, but nature honors no such distinction."" - coach greg glassman a carbohydrate - cancer connection, interesting and plausible:  http://www.paleodiet.com/cancer.txt"	false
20020212	"five rounds each for time of: 400 meter run 20 thrusters; 1/2 body weight 15 pullups 20 sit ups  rest as needed. notes: 1. time each pass.  ___________________ ""i don't ever look back. i look forward."" - steffi graf loren cordain's food pyramid - a substantial improvement over the usda's: http://www.paleofood.de/engpaleo/engpyramids/engpyramids.html"	false
20020211	rest day	false
20020210	"muscle ups 3-3-3-3-3-3-3-3-3-3, repsnotes: 1. if you've not been able to perform the muscle-up yet,  have someone spot/assist you. 2. rest as needed between sets. _________________ ""if you have confidence, you have patience. confidence, that is everything."" - ilie nastase"	false
20020209	"back squat 5-5-5-3-3-3-1-1-1 repsnotes:  1. load up! ___________________ ""football success is desire and speed and intelligence - and desire is 85% of it."" - bud wilkinson cholesterol myths by uffe ravnskov, phd, m.d.  http://www.ravnskov.nu/cholesterol.htm  and...check out our friend dr. ravnskov's credentials and list of published research: http://www.ravnskov.nu/uffe.htm"	false
20020208	"in any order and within thirty minutes:  row a 1k, max effort. kettlebell swing max reps (without stopping). pull-ups, max reps. notes: 1. as an indication of the intensity we are looking for and as a challenge,  who out there can perform 50 kettlebell swings with 2 ""pood"" kettlebell,  row a 3:10 1k, and perform the 30 pull-ups in one set? if you can you are among the worlds fittest athletes. 2. submit row time, k'bell reps, and pull-up count for ranking.  entire workout must finish within thirty minutes. first place wins crossfit t-shirt. __________________ ""if you ask a fifty-goal scorer what the goalie looks like, he'll say the goalie's just a blur.  but if you ask a five-goal scorer, he'll say the goalie looks like a huge glob of pads.  a five-goal scorer can tell you the brand name of the pad of every goalie in the league.  i'm seeing the net, he's seeing the pad."" - wayne gretzky ""eating"", an essay by tom moody.  http://www.sju.edu/~tmoody/eating.htm"	false
20020207	"seven rounds for time of: 5 pull ups 7 dips (use rings if you got'em) 1 rope climb 10 push ups 12 back/hip extension 15 sit ups 20 squats ____________________ ""only a man who knows what it is like to be defeated can reach down  to the bottom of his soul and come up with the extra ounce of power it  takes to win when the match is even."" - muhammad ali"	false
20020206	"seven rounds for time of: 5 pull ups 7 dips (use rings if you got'em) 1 rope climb 10 push ups 12 back/hip extension 15 sit ups 20 squats ____________________ ""only a man who knows what it is like to be defeated can reach down  to the bottom of his soul and come up with the extra ounce of power it  takes to win when the match is even."" - muhammad ali"	false
20020205	"jump rope for sixty seconds,  rest for sixty seconds.  continue this for forty minutes ___________________ ""develop the capacity of a novice 800 meter track athlete, gymnast,  and weightlifter and you'll be fitter than any world class runner,  gymnast, or weightlifter."" - coach glassman a little history of fitness, the biography of alan calvert:  http://www.naturalstrength.com/history/acalvert.htm"	false
20020204	"deadlift 5-4-4-3-3-3-2-2-2-2-1-1-1-1-1 reps __________________ ""i wish i knew how you could overstate the value of the deadlift.""  coach glassman http://www.protraineronline.com/past/nov15/deadlift.cfm"	false
20020203	rest day	false
20020202	rest day	false
20020201	"powerclean 10-10-10-10-10-10-10 repsnotes: 1. max load each set.  1. a set ends when the bar rests on the ground for even a second.  pause at hang or rack positions only ___________________""the most interesting thing about this sport, at least to me, is the activity  of preparation - any aspect of preparation for the games. the thrill isn't  in the winning, it's in the doing."" - chuck noll theodore roosevelt on ""value of an athletic training"" from harper's weekly,  december 23, 1893. http://www.sewanee.edu/amstudies/tr.html"	false
20020331	three rounds of: 1 mile run 21 bench press; body weightnotes:  1.total time. rest as needed between 1st, 2nd, and 3rd couplets. 2. dave mcevoy did this in 5:42.	false
20020330	"rest day""there is no single sport or activity that trains for perfect fitness.  true fitness requires a compromise in adaptation broader than  the demands of most every sport."" - coach glassman goheavy.com's forums are a valuable source of training information  for the olympic lifts: http://www.goheavy.com/forums/olympic/."	false
20020329	three rounds of: 1 mile bike 20 cleans; alternating powerclean and squat clean.notes: 1. power clean is pulling bar to racked position whereas  squat clean is pulling yourself down to racked position,  i.e., catching high and catching low.  2. rest as and where needed, but not during cleans.  3. go all out on sprints.	false
20020328	50 sit-ups tabata front squats with olympic bar 50 sit-upsnotes: 1. tabata interval is 20 seconds of work followed by  10 seconds of rest repeated for 8 intervals. 2. rest before and after tabata squats	false
20020327	perform 30 muscle-ups in thirty minutes.notes: 1. have a spotter assist when needed. the idea is to get above the  rings at full arm extension with minimal assistance. 2. two athletes can take turns each completing one muscle-up  each minute for thirty minutes.	false
20020326	rest day	false
20020325	thruster 10-10-10-5-5-5-3-3-3-1-1-1, repsnotes: 1. take easy pace. 2. go heavy.	false
20020324	20 inch box jump, 50 reps 50 sit rest 20 inch box jump, 40 reps 40 sit ups. rest  20 inch box jump, 30 reps 30 sit upsnotes:1. power through first round. record time.  complete subsequent rounds within same time.	false
20020323	three rounds of the couplet: 5 rope climb; record time kettlebell swing for time equivalent to rope climb effort. rest as needed.	false
20020322	"rest day""most people achieved their greatest successes one step beyond  what looked like their greatest failure."" -brian tracyhere from brad appleton of m.i.t. is a great primer on stretching:  http://web.mit.edu/tkd/html/stretching_toc.html. spend a few days with this one."	false
20020321	three rounds of the couplet: 50 hang powerclean, 50 reps 500 meter row rest 5 minutes.notes: 1. try to complete each round within 150 seconds.	false
20020320	five rounds of the couplet: 10 deadlift 30 push up rest 2 minutes.notes: 1. no rest between deadlift and push-ups. 2. select max 10 rep load	false
20020319	three to five rounds of the couplet: wall ball 90 seconds, max pace. pull ups, max reps. rest 3 minutes.notes: 1. no rest between wall-ball and pull-ups. 2. if you don't have twenty pull-ups fresh, use assistance on the pull-ups of 1/3 bodyweight.	false
20020218	"rest dayother than steroid use i cannot think of a single contribution to athletic performance  coming from the sport science community."" - coach glassman research shows that high intensity exercise improves neural function. no surprise. http://www.pponline.co.uk/encyc/0093.htm"	false
20020317	for time 20 muscle upsnotes: 1. have someone minimally assist on the muscle-ups  with a lift from the ankles, hips, or back.	false
20020316	five efforts of: 1000 meter rownotes: 1. rest equivalent to work period, i.e., rowing time.	false
20020315	back squat 10-10-10-10-10-10-10-10-10-10, reps	false
20020314	"rest day""perhaps the greatest satisfaction in cycling has been to discover that there  are few things you can't do as long as you're willing to apply yourself."" - greg lemond ""every man's got to figure to get beat sometime."" - joe louisentertaining: http://www.bigsteel.iwarp.com/index.html"	false
20020313	alternate exercises for 5 sets of each.hang clean/front squat (combined move) 10 reps at bodyweight. rope climb, twice up and down with touch and go only on bottom. (doubles climbing length)rest after rope as needed, not between clean/squat and rope!	false
20020312	seven rounds of: 7 bench press 30 sit ups1. easy pace	false
20020311	ten rounds of the couplet: 10 kettlebell swings 5 pull upcan you do 10 (20 anyone?) rounds of this couplet without  stopping or stalling at all? (try anyways, time it.)	false
20020310	rest day	false
20020309	"how many pull-ups can you do each minute of twenty minutes?notes: 1. the lowest number of pull-ups for any minute of twenty minutes is the score. 2. use assistance if you still haven't a pull-up.""you always have to give 100 percent, because if you don't, someone,  someplace, will give 100 percent and will beat you when you meet."" - ed macauleya city wide pull-up competition for kids - great idea -  http://www.pull-ups-trainer.com/success.htm  there's a glaring inadequacy in most athlete's development that can best be  addressed with the pull-up or chin-up."	false
20020308	"three to five round for time of: 400 meter run 20 push pressnotes: 1. use load 10 rm load for push-press.""you go for it. all the stops are out. caution is to the wind, and you're battling  with everything you have. that's the real fun of the game."" - dan dierdorfhere are abstracts of several interesting studies of note:  http://www.halesoptimumphysique.com/articles/esar.htm"	false
20020307	"sit up 30-25-20,reps tabata squats sit up 30-25-20, repsnotes: 1. it's time for a good number of our athletes to complete 20 squats  (full range - of course - the only one's we count)  in each of eight twenty second intervals. 2. rest as desired between sit-ups and tabata squats.""stick to the basics and when you feel you've mastered them it's time  to start all over again, begin anew - again with the basics - this time paying closer attention."" - greg glassman here's google's search for tabata intervals. study up on this potent interval. devastatingly efficient! http://www.google.com/search?hl=en&q;=tabata+interval"	false
20020306	rest day	false
20020305	"1 rope climb 10 dips (on rings if you've got 'em) 10 pull-up 15 push-up ___________________ everybody had limits. you just have to learn what your own  limits are and deal with them accordingly."" - nolan ryanthis is #8, the last, of uffe ravnskov's ""cholesterol myths"":  http://www.ravnskov.nu/myth8.htm"	false
20020304	"three to five rounds each for time of:   20 inch box jump, 50 reps 40 kettlebell swings 30 sit ups 400 meter run ____________________ ""i'm careful not to give into theatrics when times are tough, i don't like it when  somebody gives into outside pressure and puts on a show for others.""  - tony la russa"	false
20020303	"five rounds of: 5 powerclean  5 bench press  _____________________ ""what's the worst thing that can happen to a quarterback? he loses his confidence."" - terry bradshawuffe ravnskov's cholesterol myth # 6: http://www.ravnskov.nu/myth6.htm"	false
20020302	rest day	false
20020301	"back squat 5-5-3-3-1-1-3-3-5-5, repsnotes: 1. rest as needed between sets. 2. max load. ____________________ ""i've never had to cheat. i get 'em with what i got."" - dave winfield uffe ravnskov, phd, m.d., and ""cholesterol myth # 5:  http://www.ravnskov.nu/myth5.htm"	false
20020430	complete five rounds of this couplet:reverse back ext., 25 reps l-hold, 60 secondsnotes: 1. l-hold is for total of sixty seconds each round.  2. break l-hold into as few efforts per round as possible. 3. l-hold is from hang or straight arm support	false
20020429	three rounds for time of: 800 meter run 10 muscle upsnotes: 1. use assistance on muscle-ups minimally and as needed.	false
20020428	for time: 500 meter row 50 one legged squats, alternating right-left (25 each leg) 500 meter row 100 walking lunges, alternating right-left (50 each leg) 500 meter rownotes: 1. one legged squat is performed with non-supporting leg held  straight out in front, without touching ground. 2. if absolutely essential, use rope tied to pull-up bar as assistance.	false
20020427	"rest day""life isn't about finding yourself. life is about creating yourself."" - george barnard shawjoshua landau on basic muscle physiology:  http://www.med.unc.edu/medal/olympicgold/muscleintro.htm."	false
20020426	run 800 meters clean 5-5-5-5-5, reps deadlift 10-10-10, reps push press, 20 reps run 800 meters	false
20020425	run 800 meters clean 5-5-5-5-5, reps deadlift 10-10-10, reps push press, 20 reps run 800 meters	false
20020424	run 800 meters deadlift 5-5-5-5-5, reps push-press 10-10-10, reps clean, 20 reps run 800 meters	false
20020423	"rest day""endurance, stamina, strength, and flexibility are developed through training,  and these adaptations manifest as measurable changes in the body.  coordination, agility, balance, and accuracy are developed through practice  and these adaptations come about through changes in the nervous system.  power and speed have equal requirements for training and practice."" - coach glassmantom mccullough on bench press technique:  http://www.cyberiron.com/tom/powerbench.html give the reverse grip a try."	false
20020422	five rounds for time of: 20 inch box jump, 30 reps 15 handstand push upsnotes: 1. many will need assistance on handstand push-ups.  we use rope and block & tackle with 4:1 set-up for easy (fun) spotting	false
20020421	"row 500 meters  four minutes of pull-ups row 500 meters four minutes of pull-ups row 500 meters four minutes of pull-ups row 500 meters four minutes of pull-upsnotes: 1. row at sub 2:00 pace. no score (dq'd for 2:00+ times) 2. set rower for intervals of 500 meters work and four minutes rest. 3. get back to rower before 4 minute ""rest"" is over.  start immediately at end of countdown!! dq for delay. 4. score is total pull-up count. 5. no rest here."	false
20020420	tabata squats holding 35 pound plate. rest 10 minutes. tabata squats without plate.	false
20020419	"rest day""the most important criterion for exercise selection is neuroendocrine effect.  regardless of your sport or your fitness goals these moves are the shortest  path to success."" - greg glassman"	false
20020418	for time: bike 1 mile 1/2 body weight clean, 15 reps bike 1 mile 1/2 body weight clean, 15 reps bike 1 mile 1/2 body weight clean, 15 repsnotes: 1. modify load per ability if necessary	false
20020417	for time: 500 meter row 50 dips 500 meter row 50 dips 500 meter rownotes: 1. use assistance if absolutely necessary. 2. for most the dips will require multiple sets	false
20020416	for time: 400 meter row body weight deadlift, 10-10-10 reps 400 meter row body weight deadlift, 10-10-10 reps 400 meter rownotes:  1. modify load per ability if necessary	false
20020415	"rest day""no, it doesn't ever get any easier. you wouldn't want it to either."" - greg glassmanpowerclean vs. powerpull, power training etc, from sportsci.org:  http://www.sportsci.org/jour/9901/rmn.html"	false
20020414	for time: 5000 meter row1. row as though your life depended on it.	false
20020413	five rounds of: 30 sit ups 30 back extensionsnotes:  1. no pace requirement	false
20020412	tabata squats 10 muscle ups tabata squatsnotes: 1. rest as needed. 2. take minimal assistance on muscle-ups where needed.	false
20020411	"rest day""generating and sustaining significant work output from the upper body  is a critical domain generally, and sadly, reserved for rowers, combatants,  and cross country skiers."" - greg glassman  anyone found a cooler upper body ergometer (ube):  http://www.gracefitness.com/ube.htm ?  let us know before we buy one"	false
20020410	for time: 1/2 body weight powerclean, 21 reps  400 meter run 1/2 body weight powerclean, 18 reps  400 meter run 1/2 body weight powerclean, 15 reps 400 meter run 1/2 body weight powerclean, 12 reps 400 meter run	false
20020409	five rounds of: back squat, 10 reps. walk on hands 50 yards.notes: 1. easy pace - rest as needed between all efforts. 2. have spotter hold ankles for hand-walk. 3. big load on squat.	false
20020408	for time: box jump, 50 reps 25 pull ups box jump, 40 reps 20 pull ups box jump, 30 reps 15 pull ups box jump, 20 reps 10 pull upsnotes: 1. let's play with bigger box.	false
20020407	"rest day""squat, jump, climb, throw, lift."" - greg glassman  cruise around www.sportsci.org."	false
20020406	muscle up 7-6-5-4-3-2-1, repsnotes: 1. if you need assistance have spotter minimally lift you through the sticking point. 2. rest as needed between sets. 3. perfect two man rotation.	false
20020405	1000 meter row rest ten minutes 1000 meter row rest ten minutes 1000 meter rownotes: 1. add times. save.	false
20020404	deadlift 3-3-3-3-3-3-3, repsnotes:  1. in seven sets go from light to heavy, rest as needed	false
20020403	"rest day""cardiorespiratory endurance, stamina, strength, power,  speed, flexibility, agility, accuracy, balance, and coordination:  you're as good as your weakest link."" - greg glassmanbarefoot running, a good thing: http://www.sportsci.org/jour/0103/mw.htm"	false
20020402	"for time: 50 kettlebell swings 50 knees to elbows 40 kettlebell swings 40 knees to elbows 30 kettlebell swings 30 knees to elbows 20 kettlebell swings 20 knees to elbowsnotes: 1. use men's, women's, or children's kettlebell. 2. ""hanging knees to elbow"" is hanging from bar and bringing knees to elbow!"	false
20020401	"three rounds each for time of: 100 medicine ball squats ""triple up"" rope climbnotes: 1. ""triple-up"" on rope is touching floor with toe-only between three ascents.  it's timed from floor to floor. 2. squats that don't break paralell are insulting; subtract one for each. 3. medicine ball is 20 lbs."	false
20020531	four efforts of:500 meter row	false
20020530	five rounds for time of: 30 kettlebell swings 30 sit ups	false
20020629	"rest day""one of the principal lessons of our tragic century,  which has seen so many millions of innocent lives  sacrificed in schemes to improve the lot of humanity,  is - beware intellectuals."" - paul johnsonvern gambetta and gary gray on ""functional training"":  http://www.gambetta.com/"	false
20020528	hang clean 3-3-3-3-3, reps push jerk 3-3-3-3-3, reps	false
20020527	seven rounds for time of: 400 meter run 3 rope climbs	false
20020526	bench press 3-3-3-3-3, reps deadlift 3-3-3-3-3, reps	false
20020525	"rest day""a strength and conditioning regimen devoid of gymnastics practice and skills is deficient."" - coach greg glassmanyou'll never run out of challenges for your rings. again from skills and drills, this time still ring exercises.  they are graded from a-e, a being easiest, e being most difficult.  http://www.drillsandskills.com/skills/rings/a"	false
20020524	five rounds for time of: 5 muscle ups 5 press to handstand	false
20020523	sit ups 30-30-30, reps tabata thruster; 65 pounds sit ups 30-30-30, reps	false
20020522	five rounds for time of: 400 meter run 10 pull ups 10 dips	false
20020521	"rest day""blur the distinction between strength training and metabolic conditioning  for the simple reason that nature's challenges are typically blind to the distinction."" - coach greg glassman one of our all time favorite sites:  http://www.drillsandskills.com/skills/cond.  we can't overstate the value of these movements. thanks, rogair!l"	false
20020520	clean and jerk 5-5-5-5-5-5-5, repsnotes: 1. 60 seconds rest between sets. 2. use push-jerk instead of split jerk.	false
